Expt_No,T_Ambient,Cd_mM,Se_mM,OA_Cd_ratio,T_reactor,t_s,peak_nm,FWHM_nm,peak_eV,FWHM_eV,peak_height
23,21.99,10,10,40,260,80.001,550.906,34.899,2.251,0.143,17971.924
23,21.99,10,10,40,260,100.001,555.008,34.841,2.234,0.141,18917.263
23,21.99,10,10,40,260,120.001,557.738,33.776,2.223,0.135,20674.232
23,21.99,10,10,40,260,140.001,561.829,32.697,2.207,0.129,21373.514
23,21.99,10,10,40,260,160.001,564.552,32.317,2.196,0.126,22130.581
23,21.99,10,10,40,260,200.001,567.272,31.602,2.186,0.122,23228.113
23,21.99,10,10,40,260,240.001,570.329,31.562,2.174,0.12,23818.946
23,21.99,10,10,40,260,280.001,571.008,31.549,2.171,0.12,24469.663
23,21.99,10,10,40,260,330.001,574.398,31.163,2.159,0.117,25082.976
23,21.99,10,10,40,260,380.001,575.753,30.805,2.153,0.115,24963.455
23,21.99,10,10,40,260,450.001,577.784,31.121,2.146,0.115,24802.765
23,21.99,10,10,40,260,500.001,578.799,31.448,2.142,0.116,23777.426
23,21.99,10,10,40,260,550.001,580.49,30.749,2.136,0.113,23184.508
23,21.99,10,10,40,260,600.001,581.503,30.397,2.132,0.111,22472.472
24,22.04,10,10,40,260,10.001,497.665,25.141,2.491,0.125,4397.294
24,22.04,10,10,40,260,20.931,517.847,31.195,2.394,0.144,8751.801
24,22.04,10,10,40,260,30.998,527.189,33.848,2.352,0.151,10746.953
24,22.04,10,10,40,260,41.016,535.119,33.743,2.317,0.146,12873.425
24,22.04,10,10,40,260,51.083,540.278,33.332,2.295,0.142,14503.672
24,22.04,10,10,40,260,62.964,546.112,33.25,2.27,0.138,15783.801
24,22.04,10,10,40,260,80.001,551.248,34.21,2.249,0.14,17526.166
24,22.04,10,10,40,260,100.001,555.008,34.158,2.234,0.138,18484.336
24,22.04,10,10,40,260,120.001,557.738,33.433,2.223,0.133,19947.216
24,22.04,10,10,40,260,140.001,561.829,32.697,2.207,0.129,20593.029
24,22.04,10,10,40,260,160.001,564.212,31.98,2.197,0.125,21340.821
24,22.04,10,10,40,260,200.001,567.272,31.602,2.186,0.122,22365.296
24,22.04,10,10,40,260,240.001,569.989,30.883,2.175,0.118,23540.96
24,22.04,10,10,40,260,280.001,572.703,30.853,2.165,0.117,24106.444
24,22.04,10,10,40,260,330.001,573.72,30.836,2.161,0.116,24352.662
24,22.04,10,10,40,260,380.001,576.092,30.802,2.152,0.115,24016.676
24,22.04,10,10,40,260,450.001,578.123,30.44,2.145,0.113,23889.817
24,22.04,10,10,40,260,500.001,579.475,30.422,2.14,0.112,22910.498
24,22.04,10,10,40,260,550.001,580.49,30.409,2.136,0.112,22207.398
24,22.04,10,10,40,260,600.001,581.503,30.397,2.132,0.111,21515.194
26,21.91,10,10,40,280,10.001,509.515,27.465,2.433,0.131,8804.986
26,21.91,10,10,40,280,21.057,529.95,34.173,2.34,0.152,12289.28
26,21.91,10,10,40,280,31.057,538.216,35.423,2.304,0.152,14415.414
26,21.91,10,10,40,280,41.122,546.112,35.321,2.27,0.148,16541.426
26,21.91,10,10,40,280,51.149,552.616,34.545,2.244,0.141,19780.694
26,21.91,10,10,40,280,63.044,557.397,33.452,2.224,0.134,22099.285
26,21.91,10,10,40,280,80.001,562.169,32.358,2.205,0.127,24882.429
26,21.91,10,10,40,280,100.001,565.573,31.97,2.192,0.124,26688.932
26,21.91,10,10,40,280,120.001,568.971,31.246,2.179,0.12,28591.669
26,21.91,10,10,40,280,140.001,571.347,31.549,2.17,0.12,28855.013
26,21.91,10,10,40,280,160.001,574.059,31.523,2.16,0.119,28779.556
26,21.91,10,10,40,280,200.001,576.092,31.151,2.152,0.116,28728.337
26,21.91,10,10,40,280,240.001,579.137,30.78,2.141,0.114,28420.674
26,21.91,10,10,40,280,280.001,581.165,30.754,2.133,0.113,27561.204
26,21.91,10,10,40,280,330.001,582.854,30.057,2.127,0.11,26476.759
26,21.91,10,10,40,280,380.001,583.529,30.379,2.125,0.111,25163.253
26,21.91,10,10,40,280,450.001,585.554,29.688,2.117,0.108,23658.611
26,21.91,10,10,40,280,500.001,585.891,30.353,2.116,0.11,21232.247
26,21.91,10,10,40,280,550.001,586.565,29.671,2.114,0.107,19629.532
26,21.91,10,10,40,280,600.001,586.565,30.345,2.114,0.11,18873.209
27,22.11,10,10,40,280,10.001,509.863,27.116,2.432,0.129,8671.791
27,22.11,10,10,40,280,20.886,529.95,33.821,2.34,0.15,12156.223
27,22.11,10,10,40,280,30.975,538.56,35.765,2.302,0.153,14077.26
27,22.11,10,10,40,280,41.003,546.112,35.316,2.27,0.147,16253.157
27,22.11,10,10,40,280,51.024,552.616,34.54,2.244,0.141,19495.941
27,22.11,10,10,40,280,62.847,557.738,33.447,2.223,0.134,21814.743
27,22.11,10,10,40,280,80.001,562.51,32.354,2.204,0.127,24565.483
27,22.11,10,10,40,280,100.001,565.913,31.286,2.191,0.121,26429.8
27,22.11,10,10,40,280,120.001,568.631,31.588,2.18,0.121,27446.659
27,22.11,10,10,40,280,140.001,571.347,31.216,2.17,0.119,28716.465
27,22.11,10,10,40,280,160.001,574.059,31.518,2.16,0.119,28178.009
27,22.11,10,10,40,280,200.001,576.43,31.146,2.151,0.116,27658.599
27,22.11,10,10,40,280,240.001,579.475,30.776,2.14,0.114,26989.828
27,22.11,10,10,40,280,280.001,581.503,30.749,2.132,0.113,26057.577
27,22.11,10,10,40,280,330.001,582.517,30.392,2.128,0.111,24932.686
27,22.11,10,10,40,280,380.001,584.204,29.7,2.122,0.108,23397.841
27,22.11,10,10,40,280,450.001,584.542,30.375,2.121,0.111,22559.15
27,22.11,10,10,40,280,500.001,585.891,30.018,2.116,0.109,20392.063
27,22.11,10,10,40,280,550.001,586.565,30.01,2.114,0.108,18188.177
27,22.11,10,10,40,280,600.001,586.903,30.006,2.113,0.108,17323.162
28,22.03,10,10,40,280,10.001,509.167,26.773,2.435,0.128,8127.985
28,22.03,10,10,40,280,20.876,529.95,32.783,2.34,0.145,12288.758
28,22.03,10,10,40,280,30.908,539.247,34.726,2.299,0.149,14406.723
28,22.03,10,10,40,280,40.966,546.112,34.635,2.27,0.145,16326.339
28,22.03,10,10,40,280,51.037,552.274,34.54,2.245,0.141,19413.389
28,22.03,10,10,40,280,62.856,557.738,33.104,2.223,0.132,21632.436
28,22.03,10,10,40,280,80.001,562.51,31.668,2.204,0.124,24378.131
28,22.03,10,10,40,280,100.001,565.913,31.962,2.191,0.124,25343.522
28,22.03,10,10,40,280,120.001,568.971,31.243,2.179,0.12,26998.177
28,22.03,10,10,40,280,140.001,571.686,31.549,2.169,0.12,27207.489
28,22.03,10,10,40,280,160.001,573.72,31.181,2.161,0.118,27935.639
28,22.03,10,10,40,280,200.001,576.43,31.487,2.151,0.118,26944.501
28,22.03,10,10,40,280,240.001,579.475,31.112,2.14,0.115,25751.425
28,22.03,10,10,40,280,280.001,580.827,30.754,2.135,0.113,25248.829
28,22.03,10,10,40,280,330.001,582.517,30.392,2.128,0.111,23906.739
28,22.03,10,10,40,280,380.001,584.204,30.04,2.122,0.109,22842.697
28,22.03,10,10,40,280,450.001,585.217,30.027,2.119,0.109,21301.002
28,22.03,10,10,40,280,500.001,586.228,30.014,2.115,0.109,18695.172
28,22.03,10,10,40,280,550.001,586.228,29.671,2.115,0.107,17560.676
28,22.03,10,10,40,280,600.001,587.24,29.667,2.111,0.107,16298.558
29,21.97,10,10,40,280,10.001,510.211,27.113,2.43,0.129,8825.777
29,21.97,10,10,40,280,21.001,530.295,34.168,2.338,0.152,12281.246
29,21.97,10,10,40,280,31.027,538.56,35.418,2.302,0.152,14292.891
29,21.97,10,10,40,280,41.111,546.112,34.976,2.27,0.146,16535.95
29,21.97,10,10,40,280,51.14,552.616,34.54,2.244,0.141,19760.065
29,21.97,10,10,40,280,62.98,557.738,33.447,2.223,0.134,21964.021
29,21.97,10,10,40,280,80.001,562.51,32.354,2.204,0.127,24224.14
29,21.97,10,10,40,280,100.001,564.212,31.65,2.197,0.124,26355.496
29,21.97,10,10,40,280,120.001,568.631,31.588,2.18,0.121,27393.653
29,21.97,10,10,40,280,140.001,571.347,31.549,2.17,0.12,27978.48
29,21.97,10,10,40,280,160.001,574.059,31.518,2.16,0.119,27849.093
29,21.97,10,10,40,280,200.001,575.753,31.495,2.153,0.118,28529.718
29,21.97,10,10,40,280,240.001,579.137,30.776,2.141,0.114,26687.655
29,21.97,10,10,40,280,280.001,580.49,31.094,2.136,0.115,26126.589
29,21.97,10,10,40,280,330.001,582.179,30.397,2.13,0.111,24485.827
29,21.97,10,10,40,280,380.001,583.867,30.383,2.124,0.111,23265.354
29,21.97,10,10,40,280,450.001,585.217,30.027,2.119,0.109,21240.103
29,21.97,10,10,40,280,500.001,585.554,30.018,2.117,0.109,19865.088
29,21.97,10,10,40,280,550.001,586.565,30.01,2.114,0.108,17951.403
29,21.97,10,10,40,280,600.001,586.565,30.01,2.114,0.108,16679.445
30,21.86,10,10,40,280,10.001,510.558,28.496,2.428,0.135,9393.208
30,21.86,10,10,40,280,20.967,530.295,36.582,2.338,0.162,12698.007
30,21.86,10,10,40,280,31.012,539.591,36.789,2.298,0.158,15209.28
30,21.86,10,10,40,280,41.035,547.14,37.369,2.266,0.156,18198.313
30,21.86,10,10,40,280,51.054,552.958,35.219,2.242,0.143,20859.545
30,21.86,10,10,40,280,62.957,558.421,34.124,2.22,0.136,23267.834
30,21.86,10,10,40,280,80.001,562.85,32.349,2.203,0.127,26043.935
30,21.86,10,10,40,280,100.001,565.573,32.313,2.192,0.126,27855.205
30,21.86,10,10,40,280,120.001,568.631,31.246,2.18,0.12,29864.462
30,21.86,10,10,40,280,140.001,572.364,31.545,2.166,0.12,29520.408
30,21.86,10,10,40,280,160.001,573.72,32.205,2.161,0.122,29388.326
30,21.86,10,10,40,280,200.001,576.43,31.487,2.151,0.118,29770.971
30,21.86,10,10,40,280,240.001,579.475,31.452,2.14,0.116,28044.948
30,21.86,10,10,40,280,280.001,580.152,31.442,2.137,0.116,27441.973
30,21.86,10,10,40,280,330.001,582.517,30.736,2.128,0.113,25781.816
30,21.86,10,10,40,280,380.001,583.867,30.714,2.124,0.112,23838.642
30,21.86,10,10,40,280,450.001,585.217,30.367,2.119,0.11,22673.367
30,21.86,10,10,40,280,500.001,585.554,31.037,2.117,0.113,20034.502
30,21.86,10,10,40,280,550.001,585.891,30.353,2.116,0.11,18850.292
30,21.86,10,10,40,280,600.001,586.903,30.345,2.113,0.11,17126.644
32,22.12,10,10,40,300,10.001,519.926,30.477,2.385,0.14,11930.991
32,22.12,10,10,40,300,20.845,539.935,36.442,2.296,0.156,16006.775
32,22.12,10,10,40,300,30.863,548.51,37.003,2.26,0.153,18789.281
32,22.12,10,10,40,300,40.949,557.056,35.171,2.226,0.141,23495.568
32,22.12,10,10,40,300,50.956,562.51,33.726,2.204,0.133,27027.101
32,22.12,10,10,40,300,62.853,565.913,33.331,2.191,0.129,28197.216
32,22.12,10,10,40,300,80.001,569.31,33.289,2.178,0.128,28805.921
32,22.12,10,10,40,300,100.001,574.737,33.215,2.157,0.125,27670.822
32,22.12,10,10,40,300,120.001,577.446,32.841,2.147,0.123,27191.714
32,22.12,10,10,40,300,140.001,579.475,32.474,2.14,0.12,26280.627
32,22.12,10,10,40,300,160.001,580.827,32.45,2.135,0.12,24913.907
32,22.12,10,10,40,300,200.001,582.854,32.091,2.127,0.118,23881.368
32,22.12,10,10,40,300,240.001,583.867,32.418,2.124,0.119,22295.652
32,22.12,10,10,40,300,280.001,585.554,32.06,2.117,0.117,19572.582
32,22.12,10,10,40,300,330.001,586.228,32.39,2.115,0.118,18048.181
32,22.12,10,10,40,300,380.001,586.565,32.387,2.114,0.117,15879.745
32,22.12,10,10,40,300,450.001,586.903,32.378,2.113,0.117,14091.157
32,22.12,10,10,40,300,500.001,587.577,32.368,2.11,0.117,11483.952
32,22.12,10,10,40,300,550.001,587.577,32.707,2.11,0.118,10592.642
32,22.12,10,10,40,300,600.001,587.577,33.042,2.11,0.119,9123.268
33,22.01,10,10,40,300,10.001,519.926,29.784,2.385,0.137,11829.139
33,22.01,10,10,40,300,20.937,538.904,38.185,2.301,0.164,14333.717
33,22.01,10,10,40,300,31.004,550.222,36.637,2.253,0.151,19762.661
33,22.01,10,10,40,300,41.071,557.056,34.827,2.226,0.14,23223.207
33,22.01,10,10,40,300,51.08,562.51,33.383,2.204,0.131,26516.536
33,22.01,10,10,40,300,62.964,566.253,32.984,2.19,0.128,27543.076
33,22.01,10,10,40,300,80.001,569.31,32.947,2.178,0.127,28395.45
33,22.01,10,10,40,300,100.001,574.737,33.215,2.157,0.125,27013.06
33,22.01,10,10,40,300,120.001,577.446,32.841,2.147,0.123,26554.97
33,22.01,10,10,40,300,140.001,579.137,32.478,2.141,0.121,26203.506
33,22.01,10,10,40,300,160.001,581.165,32.114,2.133,0.118,24320.469
33,22.01,10,10,40,300,200.001,583.192,32.091,2.126,0.118,22904.7
33,22.01,10,10,40,300,240.001,584.542,31.734,2.121,0.116,20386.128
33,22.01,10,10,40,300,280.001,585.891,32.395,2.116,0.118,18131.786
33,22.01,10,10,40,300,330.001,586.228,31.711,2.115,0.115,16366.605
33,22.01,10,10,40,300,380.001,586.565,32.378,2.114,0.117,13897.496
33,22.01,10,10,40,300,450.001,586.903,32.378,2.113,0.117,13202.824
33,22.01,10,10,40,300,500.001,587.577,32.368,2.11,0.117,10634.946
33,22.01,10,10,40,300,550.001,587.914,32.363,2.109,0.117,8861.324
33,22.01,10,10,40,300,600.001,588.25,32.698,2.108,0.118,7430.164
34,21.9,10,10,40,300,10.001,520.273,31.514,2.383,0.145,11921.579
34,21.9,10,10,40,300,20.96,540.622,36.778,2.293,0.157,16692.172
34,21.9,10,10,40,300,30.987,550.564,37.317,2.252,0.154,20971.161
34,21.9,10,10,40,300,40.999,557.397,35.166,2.224,0.141,24466.921
34,21.9,10,10,40,300,51.081,562.169,34.064,2.205,0.134,27571.433
34,21.9,10,10,40,300,62.939,566.593,33.322,2.188,0.129,28697.558
34,21.9,10,10,40,300,80.001,571.347,33.262,2.17,0.127,28828.141
34,21.9,10,10,40,300,100.001,574.737,32.874,2.157,0.124,28322.462
34,21.9,10,10,40,300,120.001,577.446,32.841,2.147,0.123,27718.255
34,21.9,10,10,40,300,140.001,579.475,32.814,2.14,0.122,26404.674
34,21.9,10,10,40,300,160.001,581.165,32.455,2.133,0.12,25684.117
34,21.9,10,10,40,300,200.001,582.854,32.432,2.127,0.119,23677.542
34,21.9,10,10,40,300,240.001,584.542,32.41,2.121,0.118,20976.453
34,21.9,10,10,40,300,280.001,585.554,32.735,2.117,0.119,18469.627
34,21.9,10,10,40,300,330.001,585.891,32.73,2.116,0.119,17274.916
34,21.9,10,10,40,300,380.001,586.903,32.382,2.113,0.117,14835.436
34,21.9,10,10,40,300,450.001,587.24,32.713,2.111,0.118,13023.383
34,21.9,10,10,40,300,500.001,587.577,32.368,2.11,0.117,10645.05
34,21.9,10,10,40,300,550.001,587.914,33.042,2.109,0.119,9401.424
34,21.9,10,10,40,300,600.001,587.914,33.042,2.109,0.119,8167.729
35,21.94,10,10,40,300,10.001,519.58,30.133,2.386,0.138,11697.194
35,21.94,10,10,40,300,20.918,538.56,38.878,2.302,0.168,14099.514
35,21.94,10,10,40,300,30.934,549.879,35.958,2.255,0.148,18876.422
35,21.94,10,10,40,300,40.989,556.715,34.831,2.227,0.14,23116.99
35,21.94,10,10,40,300,51.062,562.169,33.387,2.205,0.132,26397.612
35,21.94,10,10,40,300,62.906,566.593,33.327,2.188,0.129,27345.446
35,21.94,10,10,40,300,80.001,571.347,32.92,2.17,0.126,27642.513
35,21.94,10,10,40,300,100.001,574.737,32.878,2.157,0.124,27165.495
35,21.94,10,10,40,300,120.001,577.107,32.501,2.148,0.121,26654.559
35,21.94,10,10,40,300,140.001,579.137,32.478,2.141,0.121,26186.56
35,21.94,10,10,40,300,160.001,581.503,31.774,2.132,0.117,24409.242
35,21.94,10,10,40,300,200.001,581.841,32.437,2.131,0.119,23478.159
35,21.94,10,10,40,300,240.001,584.542,31.734,2.121,0.116,20277.146
35,21.94,10,10,40,300,280.001,585.554,31.72,2.117,0.115,18093.601
35,21.94,10,10,40,300,330.001,586.565,32.047,2.114,0.116,16139.3
35,21.94,10,10,40,300,380.001,586.903,32.382,2.113,0.117,14653.394
35,21.94,10,10,40,300,450.001,586.903,32.378,2.113,0.117,13039.2
35,21.94,10,10,40,300,500.001,587.577,32.368,2.11,0.117,10866.145
35,21.94,10,10,40,300,550.001,587.914,32.363,2.109,0.117,8870.445
35,21.94,10,10,40,300,600.001,587.914,32.703,2.109,0.118,8323.623
36,22.15,10,10,40,300,10.001,519.58,30.133,2.386,0.138,11711.289
36,22.15,10,10,40,300,20.904,539.935,36.1,2.296,0.155,15674.529
36,22.15,10,10,40,300,30.934,549.879,35.958,2.255,0.148,19096.727
36,22.15,10,10,40,300,40.968,556.032,35.18,2.23,0.142,22990.246
36,22.15,10,10,40,300,51.045,562.169,34.069,2.205,0.134,26301.202
36,22.15,10,10,40,300,62.902,566.593,33.327,2.188,0.129,27410.169
36,22.15,10,10,40,300,80.001,571.347,33.262,2.17,0.127,27675.059
36,22.15,10,10,40,300,100.001,575.076,32.874,2.156,0.124,27318.359
36,22.15,10,10,40,300,120.001,576.43,32.85,2.151,0.123,27550.694
36,22.15,10,10,40,300,140.001,579.475,32.474,2.14,0.12,25367.887
36,22.15,10,10,40,300,160.001,581.503,32.114,2.132,0.118,24074.868
36,22.15,10,10,40,300,200.001,583.192,32.091,2.126,0.118,22537.623
36,22.15,10,10,40,300,240.001,584.204,32.41,2.122,0.118,19785.215
36,22.15,10,10,40,300,280.001,585.217,32.4,2.119,0.118,18303.572
36,22.15,10,10,40,300,330.001,586.565,31.708,2.114,0.115,15440.304
36,22.15,10,10,40,300,380.001,587.24,32.038,2.111,0.116,13466.619
36,22.15,10,10,40,300,450.001,587.24,32.373,2.111,0.117,11777.161
36,22.15,10,10,40,300,500.001,587.24,32.713,2.111,0.118,11160.869
36,22.15,10,10,40,300,550.001,587.914,32.363,2.109,0.117,8550.603
36,22.15,10,10,40,300,600.001,588.25,32.698,2.108,0.118,7233.024
